main_genre,specific_genre,occurrences,theme_weight
reggae,dub poetry,31,0.935145794
r&b,psychedelic soul,31,0.948479758
r&b,new orleans funk,31,0.927172965
reggae,uk dub,31,0.960116145
punk,early us punk,31,0.900606338
jazz,jazz trombone,31,0.954688345
pop,canadian contemporary r&b,31,0.931063551
reggae,african reggae,31,0.933844199
pop,yodeling,30,0.950630119
rock,post-rock,30,0.960930347
pop,lo-fi beats,30,0.965000787
rock,melodic thrash,30,0.955831705
rock,rock drums,29,0.961130435
jazz,deep adult standards,29,0.964144476
pop,corrido,29,0.934635504
eletronica,electronic rock,29,0.906622411
pop,no wave,29,0.935081032
r&b,instrumental soul,29,0.927247918
pop,chamber pop,29,0.937117991
hip hop,hopebeat,28,0.939500546
pop,regional mexican,28,0.934913555
hip hop,cali rap,28,0.938464093
pop,house,28,0.966114061
hip hop,ohio hip hop,28,0.913597039
country,jamgrass,28,0.948583158
country,wyoming roots,28,0.953886733
hip hop,trap queen,28,0.947807759
r&b,brit funk,27,0.937783769
reggae,gospel reggae,27,0.925610317
hip hop,trap latino,27,0.933139812
pop,operatic pop,27,0.962386656
punk,horror punk,27,0.948778383
pop,women's music,27,0.958153967
pop,chamber psych,27,0.951878281
hip hop,abstract hip hop,27,0.932418603
pop,bow pop,26,0.940381195
pop,surf music,26,0.946110944
pop,swamp pop,25,0.957731393
hip hop,memphis hip hop,25,0.9478453
pop,australian dance,25,0.918754338
metal,uk metalcore,25,0.926255949
folk,folk punk,25,0.958415868
hip hop,chicano rap,25,0.919396043
pop,nashville singer-songwriter,25,0.94824295
jazz,lo-fi jazzhop,25,0.950753213
rock,oc indie,24,0.938688232
pop,parody,24,0.936410219
jazz,electric bass,24,0.959119289
religious,christian pop,24,0.890285783
jazz,spiritual jazz,24,0.939009297
pop,ethereal wave,24,0.971731544
rock,power blues-rock,24,0.94037734
metal,texas metal,24,0.960340303
rock,comedy rock,24,0.936410219
country,kentucky roots,23,0.951154076
hip hop,dark trap,23,0.935749941
country,australian country,23,0.939556372
reggae,reggaeton,23,0.924493255
religious,christian indie,23,0.920255474
rock,sheffield indie,23,0.922594115
pop,solo wave,23,0.963829286
blues,psychedelic doom,23,0.924071289
pop,fourth world,22,0.938823865
pop,mandolin,22,0.953307828
jazz,brazilian jazz,22,0.945854119
pop,slowcore,22,0.977187257
rock,swiss rock,22,0.910749563
jazz,boom bap,22,0.913233439
rock,south african rock,21,0.895920037
metal,vancouver metal,21,0.91920856
rock,celtic rock,21,0.927595598
pop,instrumental bluegrass,21,0.952016152
metal,uk doom metal,21,0.952603085
eletronica,brazilian edm,21,0.953548106
country,southern gospel,21,0.962917645
rock,chicago indie,20,0.923615426
punk,australian post-punk,20,0.944219853
pop,australian psych,20,0.946807835
folk,australian indie folk,20,0.944052435
pop,shiver pop,20,0.914112791
reggae,ska mexicano,20,0.96744478
jazz,jazz vibraphone,20,0.953454042
hip hop,tennessee hip hop,20,0.957871176
punk,glam punk,20,0.908148521
hip hop,indie pop rap,20,0.943187035
r&b,souldies,19,0.947498794
metal,retro metal,19,0.912038845
hip hop,philly rap,19,0.92118402
country,banjo,19,0.946485306
pop,slap house,19,0.934957062
rock,vancouver indie,19,0.91577336
country,canadian blues,19,0.931778668
pop,bmore,19,0.926207842
jazz,jazz quartet,19,0.972014882
pop,new mexico music,19,0.961573111
jazz,jazz metal,19,0.959520902
jazz,gymcore,19,0.914901548
rock,california hardcore,19,0.907094058
jazz,mathcore,19,0.956593478
pop,classical performance,19,0.934267457
jazz,boogaloo,19,0.97195424
jazz,bboy,19,0.90176799
punk,chicago punk,18,0.925524523
rock,austindie,18,0.941698591
metal,american metalcore,18,0.958024197
rock,latin alternative,18,0.9640982
country,canadian contemporary country,18,0.925020825
pop,classical tenor,18,0.960113927
hip hop,canadian trap,18,0.907019546
reggae,deep ragga,18,0.945986738
pop,progressive house,18,0.971471478
rock,new jersey indie,18,0.923099615
pop,calypso,18,0.966517524
rock,indie surf,18,0.93772788
metal,comic metal,18,0.927756035
r&b,vapor soul,18,0.944768161
hip hop,dfw rap,18,0.965549883
hip hop,greek hip hop,18,0.965597826
pop,k-pop,18,0.927619243
jazz,deep house,18,0.92817094
jazz,salsa international,18,0.945835539
hip hop,rap latina,18,0.944539078
pop,tropical,18,0.947487325
pop,nu gaze,17,0.928898829
pop,hyphy,17,0.92879083
pop,scottish new wave,17,0.950856856
pop,swamp blues,17,0.949911321
jazz,choral,17,0.939171605
hip hop,viral rap,17,0.924330764
eletronica,australian electropop,17,0.9331625
r&b,northern soul,17,0.948422925
pop,opera,17,0.959308851
pop,italian tenor,17,0.959308851
hip hop,oakland hip hop,17,0.933787204
pop,canzone napoletana,17,0.959308851
metal,cosmic death metal,16,0.970064642
pop,bachata,16,0.956463816
jazz,orchestral performance,16,0.937007316
rock,psychedelic blues-rock,16,0.931838127
jazz,neo-progressive,16,0.981441631
r&b,pop soul,16,0.941214643
jazz,compositional ambient,16,0.953865165
pop,nuevo regional mexicano,16,0.929792037
blues,desert blues,16,0.976750905
country,boogie-woogie,16,0.916527995
reggae,reggae cover,16,0.945999888
pop,eurodance,16,0.901044652
rock,louisville indie,16,0.95907303
pop,icelandic pop,16,0.949186492
folk,ectofolk,16,0.937615238
pop,north carolina roots,15,0.948969524
rock,australian alternative rock,15,0.934951031
jazz,jazz violin,15,0.941807072
country,gospel blues,15,0.953326639
pop,social media pop,15,0.941081278
rock,rock en espanol,15,0.95985941
rock,german rock,15,0.926388457
jazz,deathrash,15,0.964308958
pop,c86,15,0.898946465
jazz,straight-ahead jazz,15,0.947016729
metal,sci-fi metal,15,0.967676487
pop,norteno,15,0.940525336
jazz,post-screamo,15,0.905996659
reggae,reggae en espanol,15,0.947657698
r&b,trap soul,15,0.919773825
rock,memphis indie,15,0.936946229
pop,uk alternative pop,15,0.938786845
country,alberta country,14,0.930904281
rock,scottish rock,14,0.941507206
reggae,german reggae,14,0.954670891
rock,rock keyboard,14,0.9569086
jazz,jazz organ,14,0.960771361
pop,experimental vocal,14,0.954362279
reggae,reggaeton flow,14,0.90527809
jazz,jazz clarinet,14,0.959512449
pop,chicago hardcore,14,0.945597585
eletronica,slovenian electronic,14,0.983597305
jazz,technical deathcore,14,0.966307514
pop,irish singer-songwriter,14,0.990619335
rock,north carolina indie,14,0.953598976
pop,beach music,14,0.950900981
pop,german pop,14,0.923531226
hip hop,vapor trap,14,0.92618064
pop,mande pop,14,0.975260482
blues,malian blues,14,0.975260482
pop,wu fam,14,0.900755161
pop,bubblegum dance,14,0.90172195
jazz,ska jazz,14,0.935370558
jazz,vintage jazz,14,0.958796529
metal,german metal,14,0.910291457
religious,rock cristiano,14,0.924844899
jazz,acid jazz,14,0.947524062
jazz,japanese jazz,14,0.945762447
reggae,brazilian reggae,14,0.947229966
metal,neo classical metal,13,0.946310951
metal,us power metal,13,0.947173786
reggae,experimental dub,13,0.945977754
pop,deep regional mexican,13,0.942365722
jazz,french jazz,13,0.980100216
pop,barbadian pop,13,0.916795743
jazz,swedish jazz,13,0.962298441
folk,psychedelic folk,13,0.956668792
jazz,australian r&b,13,0.94922161
rock,eau claire indie,13,0.894644098
jazz,ambient,13,0.935563732
pop,corridos tumbados,13,0.929926035
rock,german hard rock,13,0.906768794
hip hop,battle rap,13,0.935055452
metal,welsh metal,13,0.928472624
jazz,broken beat,13,0.918264652
rock,trash rock,13,0.931607419
jazz,gypsy jazz,13,0.974584567
jazz,nu skool breaks,13,0.920264791
pop,canadian ccm,13,0.924913567
rock,kiwi rock,13,0.891865739
rock,seattle indie,13,0.936749742
pop,neo-synthpop,13,0.910027216
punk,canadian punk,13,0.925535178
rock,action rock,13,0.944700108
jazz,modern jazz piano,13,0.961873882
hip hop,hip-hop experimental,13,0.946951129
rock,brighton indie,12,0.956860974
jazz,balkan beats,12,0.926855844
rock,atlanta indie,12,0.949931416
rock,philly indie,12,0.951170514
hip hop,deep east coast hip hop,12,0.938383686
pop,icelandic experimental,12,0.953033692
jazz,jazz drums,12,0.929891303
metal,latin metal,12,0.945919969
pop,opm,12,0.964227529
pop,underground power pop,12,0.930667998
eletronica,bleep techno,12,0.937742347
metal,boston metal,12,0.971098895
blues,spirituals,12,0.967759509
pop,icelandic singer-songwriter,12,0.953033692
rock,pinoy rock,12,0.983093593
punk,acoustic punk,12,0.926105819
hip hop,nashville hip hop,12,0.958511827
pop,classic tollywood,11,0.972045021
pop,futuristic swag,11,0.890472788
hip hop,baton rouge rap,11,0.916798024
rock,stl indie,11,0.964280213
pop,uk dance,11,0.976356628
reggae,pinoy reggae,11,0.981838099
pop,orgcore,11,0.933189114
reggae,riddim,11,0.974032675
pop,laboratorio,11,0.922284568
punk,celtic punk,11,0.955754478
metal,sludge metal,11,0.951310303
hip hop,sad rap,11,0.916667533
pop,nz pop,11,0.959856134
hip hop,florida rap,11,0.934719424
jazz,wonky,11,0.89820018
pop,minimalism,11,0.966135836
pop,stomp pop,11,0.970804733
jazz,dinner jazz,11,0.964649538
hip hop,dmv rap,11,0.954471235
hip hop,north carolina hip hop,11,0.951410107
r&b,smooth soul,11,0.946444209
rock,argentine rock,11,0.951829784
pop,sierreno,11,0.912393072
blues,tuareg guitar,11,0.982401405
pop,musica tradicional cubana,11,0.940358484
hip hop,hawaiian hip hop,11,0.897087294
pop,vocal house,11,0.958614839
pop,roots worship,11,0.974329956
rock,geek rock,11,0.945128217
hip hop,detroit hip hop,11,0.939864721
hip hop,psychedelic hip hop,11,0.936976503
rock,toronto indie,11,0.970605548
hip hop,japanese old school hip hop,10,0.963272324
pop,south african pop,10,0.864712805
rock,dc hardcore,10,0.905131724
hip hop,greek underground rap,10,0.950223899
reggae,argentine reggae,10,0.955746054
jazz,focus beats,10,0.953809236
country,pre-war blues,10,0.929641745
rock,bath indie,10,0.967240547
pop,new weird america,10,0.943373164
rock,neo-rockabilly,10,0.964559761
pop,riot grrrl,10,0.928936787
hip hop,japanese chillhop,10,0.960508836
jazz,uk contemporary jazz,10,0.924766808
rock,dallas indie,10,0.94768419
punk,power-pop punk,10,0.895238252
blues,instrumental surf,10,0.92194863
jazz,deep smooth jazz,10,0.916744115
rock,alternative americana,10,0.9456504
rock,welsh rock,10,0.938352335
jazz,british jazz,10,0.964255096
punk,canadian pop punk,10,0.934728114
jazz,jazz double bass,9,0.951269766
punk,garage punk blues,9,0.941335822
jazz,swing revival,9,0.911880948
folk,irish folk,9,0.979400705
metal,turkish death metal,9,0.896537023
metal,german death metal,9,0.896537023
jazz,classical trumpet,9,0.964090824
rock,latin rock,9,0.976933705
eletronica,pop edm,9,0.973252146
metal,atlanta metal,9,0.943981952
rock,south carolina indie,9,0.958939423
jazz,ska argentino,9,0.975976002
hip hop,native american hip hop,9,0.935439714
jazz,new french touch,9,0.936008197
folk,western saharan folk,9,0.981338635
rock,crossover thrash,9,0.918815732
blues,musique touareg,9,0.981338635
rock,austin rock,9,0.969893976
jazz,a cappella,9,0.902946354
hip hop,atl trap,9,0.953760073
pop,panamanian pop,9,0.963294426
pop,lo-fi indie,9,0.967765667
pop,nu disco,9,0.913567167
country,queer country,9,0.980659797
pop,mambo,9,0.936946164
pop,bedroom pop,9,0.886094998
hip hop,ottawa rap,9,0.918943712
hip hop,aesthetic rap,9,0.918943712
jazz,south african jazz,9,0.958918205
pop,show tunes,9,0.965094027
pop,latin viral pop,9,0.980529384
jazz,experimental ambient,9,0.978811251
pop,mexican pop,9,0.903084306
pop,exotica,9,0.958009082
rock,british indie rock,9,0.855880106
pop,bolero,9,0.945756976
pop,tamil pop,9,0.93939128
rock,alternative emo,9,0.984427692
rock,brooklyn indie,9,0.911097085
hip hop,minnesota hip hop,9,0.948214502
pop,hammond organ,9,0.938565214
pop,big room,9,0.937920394
religious,christian hip hop,9,0.927462244
hip hop,australian hip hop,9,0.925702503
pop,salsa puertorriquena,8,0.965913056
r&b,p funk,8,0.970744459
metal,dutch metal,8,0.977314198
metal,dutch death metal,8,0.977314198
pop,nederpop,8,0.933210645
eletronica,swedish electropop,8,0.897192163
reggae,virgin islands reggae,8,0.969887021
metal,quebec death metal,8,0.973741768
pop,dark wave,8,0.979552095
hip hop,canadian old school hip hop,8,0.931480358
pop,otacore,8,0.977271155
jazz,afro-cuban percussion,8,0.929366902
rock,asbury park indie,8,0.975353946
jazz,deep tech house,8,0.974400797
jazz,slam poetry,8,0.950681129
pop,chutney,8,0.953611473
pop,alternative pop rock,8,0.84361495
punk,atlanta punk,8,0.948281303
rock,australian indie,8,0.921010294
jazz,african-american classical,8,0.968199406
hip hop,kansas city hip hop,8,0.971140009
rock,future rock,8,0.90746153
pop,new age,8,0.975386441
hip hop,jewish hip hop,8,0.930341536
rock,san diego indie,8,0.924577761
rock,idaho indie,8,0.934988523
rock,saskatchewan indie,8,0.911373676
pop,swedish indie pop,8,0.947754228
rock,kc indie,8,0.950034458
blues,deathgrass,7,0.965902513
hip hop,virginia hip hop,7,0.866395866
rock,canadian psychedelic rock,7,0.93848583
rock,southampton indie,7,0.948425119
country,deep contemporary country,7,0.93608223
hip hop,desi hip hop,7,0.875264837
metal,brazilian thrash metal,7,0.949445827
rock,albuquerque indie,7,0.955041493
rock,portland indie,7,0.932315586
country,broadway,7,0.97652711
country,modern old-time,7,0.948399917
