main_genre,specific_genre
hip hop,chicago rap
pop,shimmer pop
rock,sacramento indie
pop,talent show
punk,indie punk
pop,filmi
blues,psychobilly
hip hop,toronto rap
jazz,livetronica
country,bluegrass gospel
pop,anthem worship
rock,alt z
pop,new jersey hardcore
electronica,piedmont blues
jazz,jazz trio
pop,chillwave
pop,melodic hardcore
blues,palm desert scene
metal,technical groove metal
hip hop,chillhop
metal,power metal
jazz,avant-garde jazz
pop,afrofuturism
punk,new jersey punk
reggae,french reggae
punk,cowpunk
folk,folk-pop
pop,pop emo
pop,deathcore
reggae,early reggae
metal,technical death metal
folk,british folk
pop,britpop
punk,garage punk
pop,modern power pop
punk,portland punk
pop,swedish pop
jazz,samba-jazz
country,roots americana
hip hop,new orleans rap
punk,psychedelic punk
blues,swancore
punk,neon pop punk
pop,escape room
pop,pixie
metal,brutal death metal
hip hop,lgbtq+ hip hop
punk,cyberpunk
hip hop,latin hip hop
r&b,instrumental funk
rock,oxford indie
hip hop,houston rap
rock,canadian indie
jazz,ecm-style jazz
hip hop,harlem hip hop
jazz,electro jazz
pop,world
pop,space age pop
pop,experimental pop
reggae,nz reggae
metal,avant-garde metal
pop,pacific islands pop
blues,gothabilly
blues,rebel blues
pop,sufi
hip hop,underground rap
pop,hi-nrg
rock,washington indie
hip hop,new jersey rap
rock,scottish indie
rock,alternative roots rock
pop,classic bollywood
hip hop,pittsburgh rap
pop,desi pop
electronica,electro house
pop,afropop
rock,indie r&b
pop,salsa
jazz,neo r&b
r&b,british soul
metal,north carolina metal
pop,native american
rock,modern southern rock
reggae,dub poetry
r&b,psychedelic soul
r&b,new orleans funk
reggae,uk dub
punk,early us punk
jazz,jazz trombone
pop,canadian contemporary r&b
reggae,african reggae
pop,yodeling
rock,post-rock
pop,lo-fi beats
rock,melodic thrash
rock,rock drums
jazz,deep adult standards
pop,corrido
electronica,electronic rock
pop,no wave
r&b,instrumental soul
pop,chamber pop
hip hop,hopebeat
pop,regional mexican
hip hop,cali rap
pop,house
hip hop,ohio hip hop
country,jamgrass
country,wyoming roots
hip hop,trap queen
r&b,brit funk
reggae,gospel reggae
hip hop,trap latino
pop,operatic pop
punk,horror punk
pop,women's music
pop,chamber psych
hip hop,abstract hip hop
pop,bow pop
pop,surf music
pop,swamp pop
hip hop,memphis hip hop
pop,australian dance
metal,uk metalcore
folk,folk punk
hip hop,chicano rap
pop,nashville singer-songwriter
jazz,lo-fi jazzhop
rock,oc indie
pop,parody
jazz,electric bass
religious,christian pop
jazz,spiritual jazz
pop,ethereal wave
rock,power blues-rock
metal,texas metal
rock,comedy rock
country,kentucky roots
hip hop,dark trap
country,australian country
reggae,reggaeton
religious,christian indie
rock,sheffield indie
pop,solo wave
blues,psychedelic doom
pop,fourth world
pop,mandolin
jazz,brazilian jazz
pop,slowcore
rock,swiss rock
jazz,boom bap
rock,south african rock
metal,vancouver metal
rock,celtic rock
pop,instrumental bluegrass
metal,uk doom metal
electronica,brazilian edm
country,southern gospel
rock,chicago indie
punk,australian post-punk
pop,australian psych
folk,australian indie folk
pop,shiver pop
reggae,ska mexicano
jazz,jazz vibraphone
hip hop,tennessee hip hop
punk,glam punk
hip hop,indie pop rap
r&b,souldies
metal,retro metal
hip hop,philly rap
country,banjo
pop,slap house
rock,vancouver indie
country,canadian blues
pop,bmore
jazz,jazz quartet
pop,new mexico music
jazz,jazz metal
jazz,gymcore
rock,california hardcore
jazz,mathcore
pop,classical performance
jazz,boogaloo
jazz,bboy
punk,chicago punk
rock,austindie
metal,american metalcore
rock,latin alternative
country,canadian contemporary country
pop,classical tenor
hip hop,canadian trap
reggae,deep ragga
pop,progressive house
rock,new jersey indie
pop,calypso
rock,indie surf
metal,comic metal
r&b,vapor soul
hip hop,dfw rap
hip hop,greek hip hop
pop,k-pop
jazz,deep house
jazz,salsa international
hip hop,rap latina
pop,tropical
pop,nu gaze
pop,hyphy
pop,scottish new wave
pop,swamp blues
jazz,choral
hip hop,viral rap
electronica,australian electropop
r&b,northern soul
pop,opera
pop,italian tenor
hip hop,oakland hip hop
pop,canzone napoletana
metal,cosmic death metal
pop,bachata
jazz,orchestral performance
rock,psychedelic blues-rock
jazz,neo-progressive
r&b,pop soul
jazz,compositional ambient
pop,nuevo regional mexicano
blues,desert blues
country,boogie-woogie
reggae,reggae cover
pop,eurodance
rock,louisville indie
pop,icelandic pop
folk,ectofolk
pop,north carolina roots
rock,australian alternative rock
jazz,jazz violin
country,gospel blues
pop,social media pop
rock,rock en espanol
rock,german rock
jazz,deathrash
pop,c86
jazz,straight-ahead jazz
metal,sci-fi metal
pop,norteno
jazz,post-screamo
reggae,reggae en espanol
r&b,trap soul
rock,memphis indie
pop,uk alternative pop
country,alberta country
rock,scottish rock
reggae,german reggae
rock,rock keyboard
jazz,jazz organ
pop,experimental vocal
reggae,reggaeton flow
jazz,jazz clarinet
pop,chicago hardcore
electronica,slovenian electronic
jazz,technical deathcore
pop,irish singer-songwriter
rock,north carolina indie
pop,beach music
pop,german pop
hip hop,vapor trap
pop,mande pop
blues,malian blues
pop,wu fam
pop,bubblegum dance
jazz,ska jazz
jazz,vintage jazz
metal,german metal
religious,rock cristiano
jazz,acid jazz
jazz,japanese jazz
reggae,brazilian reggae
metal,neo classical metal
metal,us power metal
reggae,experimental dub
pop,deep regional mexican
jazz,french jazz
pop,barbadian pop
jazz,swedish jazz
folk,psychedelic folk
jazz,australian r&b
rock,eau claire indie
jazz,ambient
pop,corridos tumbados
rock,german hard rock
hip hop,battle rap
metal,welsh metal
jazz,broken beat
rock,trash rock
jazz,gypsy jazz
jazz,nu skool breaks
pop,canadian ccm
rock,kiwi rock
rock,seattle indie
pop,neo-synthpop
punk,canadian punk
rock,action rock
jazz,modern jazz piano
hip hop,hip-hop experimental
rock,brighton indie
jazz,balkan beats
rock,atlanta indie
rock,philly indie
hip hop,deep east coast hip hop
pop,icelandic experimental
jazz,jazz drums
metal,latin metal
pop,opm
pop,underground power pop
electronica,bleep techno
metal,boston metal
blues,spirituals
pop,icelandic singer-songwriter
rock,pinoy rock
punk,acoustic punk
hip hop,nashville hip hop
pop,classic tollywood
pop,futuristic swag
hip hop,baton rouge rap
rock,stl indie
pop,uk dance
reggae,pinoy reggae
pop,orgcore
reggae,riddim
pop,laboratorio
punk,celtic punk
metal,sludge metal
hip hop,sad rap
pop,nz pop
hip hop,florida rap
jazz,wonky
pop,minimalism
pop,stomp pop
jazz,dinner jazz
hip hop,dmv rap
hip hop,north carolina hip hop
r&b,smooth soul
rock,argentine rock
pop,sierreno
blues,tuareg guitar
pop,musica tradicional cubana
hip hop,hawaiian hip hop
pop,vocal house
pop,roots worship
rock,geek rock
hip hop,detroit hip hop
hip hop,psychedelic hip hop
rock,toronto indie
hip hop,japanese old school hip hop
pop,south african pop
rock,dc hardcore
hip hop,greek underground rap
reggae,argentine reggae
jazz,focus beats
country,pre-war blues
rock,bath indie
pop,new weird america
rock,neo-rockabilly
pop,riot grrrl
hip hop,japanese chillhop
jazz,uk contemporary jazz
rock,dallas indie
punk,power-pop punk
blues,instrumental surf
jazz,deep smooth jazz
rock,alternative americana
rock,welsh rock
jazz,british jazz
punk,canadian pop punk
jazz,jazz double bass
punk,garage punk blues
jazz,swing revival
folk,irish folk
metal,turkish death metal
metal,german death metal
jazz,classical trumpet
rock,latin rock
electronica,pop edm
metal,atlanta metal
rock,south carolina indie
jazz,ska argentino
hip hop,native american hip hop
jazz,new french touch
folk,western saharan folk
rock,crossover thrash
blues,musique touareg
rock,austin rock
jazz,a cappella
hip hop,atl trap
pop,panamanian pop
pop,lo-fi indie
pop,nu disco
country,queer country
pop,mambo
pop,bedroom pop
hip hop,ottawa rap
hip hop,aesthetic rap
jazz,south african jazz
pop,show tunes
pop,latin viral pop
jazz,experimental ambient
pop,mexican pop
pop,exotica
rock,british indie rock
pop,bolero
pop,tamil pop
rock,alternative emo
rock,brooklyn indie
hip hop,minnesota hip hop
pop,hammond organ
pop,big room
religious,christian hip hop
hip hop,australian hip hop
pop,salsa puertorriquena
r&b,p funk
metal,dutch metal
metal,dutch death metal
pop,nederpop
electronica,swedish electropop
reggae,virgin islands reggae
metal,quebec death metal
pop,dark wave
hip hop,canadian old school hip hop
pop,otacore
jazz,afro-cuban percussion
rock,asbury park indie
jazz,deep tech house
jazz,slam poetry
pop,chutney
pop,alternative pop rock
punk,atlanta punk
rock,australian indie
jazz,african-american classical
hip hop,kansas city hip hop
rock,future rock
pop,new age
hip hop,jewish hip hop
rock,san diego indie
rock,idaho indie
rock,saskatchewan indie
pop,swedish indie pop
rock,kc indie
blues,deathgrass
hip hop,virginia hip hop
rock,canadian psychedelic rock
rock,southampton indie
country,deep contemporary country
hip hop,desi hip hop
metal,brazilian thrash metal
rock,albuquerque indie
rock,portland indie
country,broadway
country,modern old-time
hip hop,military rap
hip hop,mexican hip hop
country,neo-traditional country
punk,boston punk
pop,etherpop
electronica,electropowerpop
rock,quebec indie
rock,baltimore indie
pop,early synthpop
metal,metal mineiro
hip hop,emo rap
metal,brazilian metal
metal,brazilian groove metal
blues,medway sound
metal,doom metal
jazz,library music
rock,swedish stoner rock
pop,christmas instrumental
jazz,jazz flute
jazz,doomgaze
reggae,traditional ska
jazz,blackgaze
jazz,microhouse
rock,victoria bc indie
pop,outsider
pop,vapor twitch
jazz,chill lounge
pop,movie tunes
pop,k-pop girl group
metal,miami metal
reggae,azonto
rock,south african alternative
pop,disco house
pop,c-pop
hip hop,cologne hip hop
hip hop,german hip hop
metal,swedish progressive metal
pop,minneapolis sound
hip hop,detroit trap
pop,drill
pop,freestyle
metal,norwegian metal
folk,protest folk
metal,dissonant death metal
pop,celtic
pop,puerto rican pop
jazz,canadian modern jazz
jazz,ambient folk
jazz,ethio-jazz
pop,gospel
pop,twee pop
jazz,australian ska
hip hop,west coast trap
jazz,classical organ
jazz,free improvisation
punk,emo punk
jazz,tin pan alley
blues,australian blues
jazz,historically informed performance
blues,sacred steel
pop,sleep
rock,nyhc
rock,okc indie
pop,norwegian pop
reggae,slayer
jazz,bossa nova jazz
pop,colombian pop
pop,korean r&b
jazz,coverchill
pop,sound
hip hop,kentucky hip hop
folk,indie anthem-folk
pop,greek pop
pop,lds youth
hip hop,portland hip hop
pop,modern dream pop
pop,plugg
pop,la pop
rock,rock independant francais
pop,nyc pop
pop,idol
hip hop,rap underground mexicano
country,family gospel
pop,gauze pop
country,irish country
pop,k-pop boy group
jazz,vintage hollywood
pop,mandopop
pop,one-person band
rock,duluth indie
rock,instrumental stoner rock
electronica,edmonton indie
metal,danish metal
blues,nashville americana
pop,classic swedish pop
pop,classic kollywood
pop,bounce
pop,contemporary gospel
rock,vegas indie
hip hop,nz hip hop
country,truck-driving country
punk,black punk
religious,christian hard rock
rock,acoustic rock
hip hop,israeli hip hop
pop,dream smp
pop,moombahton
jazz,drone
hip hop,tamil hip hop
rock,instrumental post-rock
rock,canadian post-rock
pop,dutch pop
pop,modern bollywood
jazz,thall
metal,post-metal
metal,black metal
pop,ghazal
r&b,soulful house
metal,florida death metal
pop,austin singer-songwriter
rock,dayton indie
pop,deep disco house
hip hop,scream rap
reggae,dub reggae
country,bush ballad
hip hop,st louis rap
pop,bubblegrunge
rock,el paso indie
country,comedy
blues,midwest americana
pop,swedish synthpop
pop,disney
rock,welsh indie
reggae,ny roots
pop,praise
pop,trance
hip hop,miami bass
rock,midwest emo
blues,shred
punk,australian garage punk
pop,swedish singer-songwriter
rock,olympia wa indie
jazz,latin afrobeat
rock,ok indie
r&b,synth funk
metal,melodic groove metal
hip hop,brazilian hip hop
electronica,dutch edm
hip hop,classic house
jazz,tech house
punk,icelandic post-punk
hip hop,outer hip hop
jazz,cuarteto
hip hop,winnipeg hip hop
pop,melodic dubstep
rock,tempe indie
hip hop,boston hip hop
jazz,avant-garde
pop,future bass
pop,canadian post-hardcore
metal,symphonic metal
rock,ohio indie
hip hop,spanish hip hop
hip hop,old school uk hip hop
blues,gregorian chant
rock,northern irish indie
rock,cape town indie
jazz,uk82
rock,swedish alternative rock
pop,neo-singer-songwriter
rock,deep groove house
pop,diva house
pop,complextro
electronica,german techno
hip hop,arabic hip hop
pop,paisley underground
rock,canadian garage rock
country,australian children's music
hip hop,alabama rap
metal,post-doom metal
metal,prog metal
r&b,funky house
pop,scandipop
rock,eugene indie
jazz,oi
rock,african rock
hip hop,south carolina hip hop
pop,rain
hip hop,south african hip hop
religious,christian punk
jazz,italian lounge
pop,preschool children's music
pop,glee club
country,canadian americana
rock,hard alternative
jazz,rare groove
jazz,modern jazz trio
rock,reading indie
pop,italian disco
pop,dominican pop
pop,epicore
pop,uk contemporary r&b
hip hop,comedy rap
hip hop,uk hip hop
pop,fnf
jazz,jazz puertorriqueno
hip hop,experimental hip hop
pop,tape club
hip hop,mississippi hip hop
rock,instrumental math rock
jazz,experimental r&b
electronica,progressive electro house
jazz,abstract beats
hip hop,swedish hip hop
punk,texas pop punk
blues,barrelhouse piano
metal,opera metal
rock,nz indie
rock,classic j-rock
hip hop,argentine hip hop
hip hop,rap marseille
pop,j-poprock
pop,orchestra
pop,lo-fi emo
jazz,world fusion
pop,pop violin
pop,german orchestra
pop,progressive trance
country,new england americana
hip hop,chopped and screwed
pop,ranchera
hip hop,bc underground hip hop
country,gothic americana
religious,christian relaxative
pop,hyperpop
hip hop,tribal house
hip hop,garage house
r&b,funky tech house
pop,laiko
pop,british singer-songwriter
metal,norwegian black metal
rock,progressive sludge
metal,melodic death metal
metal,swedish death metal
jazz,swedish melodeath
pop,dubstep
punk,steampunk
jazz,instrumental djent
jazz,norwegian jazz
pop,brostep
country,deep talent show
pop,antiviral pop
pop,south african pop dance
religious,christian trap
pop,trancecore
hip hop,polish hip hop
r&b,post-disco soul
jazz,jazz orchestra
pop,soundtrack
punk,surf punk
rock,indiana indie
rock,brazilian rock
punk,dub punk
rock,windsor on indie
rock,small room
pop,horrorcore
pop,vintage chinese pop
pop,chill r&b
hip hop,texas latin rap
pop,grungegaze
hip hop,meme rap
jazz,jazz cubano
metal,canadian metalcore
rock,gothenburg indie
country,jug band
rock,liverpool indie
pop,swedish americana
rock,swedish hard rock
religious,christian metal
electronica,electro-industrial
rock,ebm
religious,deep christian rock
pop,anime
blues,dutch blues
pop,ballroom
pop,easycore
rock,anime rock
country,canadian celtic
metal,melodic metal
punk,arizona punk
rock,black thrash
pop,sad lo-fi
rock,english indie rock
rock,j-rock
rock,deep soft rock
jazz,italian jazz
hip hop,hip hop galsen
rock,crack rock steady
reggae,violin
hip hop,french hip hop
pop,popping
jazz,organic house
jazz,canterbury scene
jazz,new age piano
metal,british black metal
pop,lo-fi house
metal,australian metalcore
jazz,ambeat
rock,miami indie
rock,nottingham indie
jazz,scratch
pop,pop romantico
jazz,german jazz rap
jazz,jazz brass
electronica,proto-techno
pop,blackened deathcore
pop,brutal deathcore
pop,classic pakistani pop
hip hop,sertanejo tradicional
pop,shibuya-kei
jazz,chinese jazz
jazz,jazz harp
metal,metal guitar
religious,christian power metal
electronica,polish electronica
jazz,brazilian modern jazz
jazz,piano mpb
pop,mainland chinese pop
pop,intelligent dance music
electronica,japanese electronic
pop,gospel r&b
jazz,indonesian jazz
jazz,background jazz
electronica,techno kayo
metal,german power metal
metal,j-metal
hip hop,deep german hip hop
pop,symphonic deathcore
pop,melodic deathcore
pop,synthesizer
rock,australian indie rock
jazz,chanson
religious,christian uplift
rock,mexican rock
hip hop,grime
rock,french rock
hip hop,oldschool deutschrap
metal,australian metal
hip hop,proto-rap
hip hop,amapiano
hip hop,italian underground hip hop
pop,xhosa
pop,vintage taiwan pop
pop,psychedelic pop
rock,auckland indie
reggae,anthem emo
hip hop,sertanejo
rock,norwegian rock
hip hop,sertanejo universitario
jazz,breakbeat
metal,gothic metal
pop,pop urbaine
pop,classic greek pop
reggae,french dub
pop,sertanejo pop
jazz,progressive thrash
reggae,trinibad
jazz,sound art
rock,neue deutsche harte
reggae,italian reggae
pop,samoan pop
electronica,electro dub
metal,japanese metalcore
jazz,brass band
rock,ann arbor indie
rock,leicester indie
metal,southern metal
pop,rebetiko
pop,guyanese pop
jazz,drift
rock,japanese post-hardcore
jazz,perreo
jazz,indian jazz
blues,song poem
jazz,italian contemporary jazz
blues,memphis americana
rock,san marcos tx indie
rock,fort wayne indie
electronica,cedm
electronica,electronic trap
pop,dunedin sound
rock,minneapolis indie
hip hop,nyc rap
metal,progressive death metal
pop,classic nz pop
pop,filter house
folk,folktronica
electronica,minimal techno
jazz,minimal tech house
pop,minecraft
jazz,rumba
pop,modern cello
country,austin americana
jazz,charanga
rock,math rock
pop,cajun
folk,contemporary folk
blues,german blues
rock,greek rock
rock,greek psychedelic rock
jazz,tipico
metal,greek metal
folk,nl folk
rock,hard rock brasileiro
pop,latin arena pop
pop,video game music
pop,louisville underground
punk,modern ska punk
blues,native american contemporary
pop,danish pop rock
hip hop,deep southern trap
jazz,modern swing
jazz,ragtime
pop,zydeco
jazz,accordion
hip hop,lo-fi rap
pop,cello
jazz,detroit house
pop,banda
electronica,canadian electropop
rock,mexican rock-and-roll
folk,swedish indie folk
pop,australian alternative pop
rock,rhode island indie
pop,cartoon
rock,charlottesville indie
rock,new orleans indie
rock,canadian rockabilly
pop,afghan pop
pop,hawaiian
jazz,danish jazz
rock,omaha indie
pop,classic cantopop
jazz,turkish jazz
pop,deep ccm
jazz,clean comedy
country,modern uplift
pop,mariachi
pop,channel pop
country,classic australian country
rock,rock progressif francais
jazz,float house
blues,kora
rock,indie rockism
pop,classic city pop
blues,griot
metal,nu-metalcore
pop,j-pop
jazz,indian fusion
rock,krautrock
pop,taiwan pop
pop,children's music
pop,popgaze
rock,british alternative rock
pop,stomp and flutter
pop,swedish synth
pop,indie psych-pop
rock,indy indie
rock,french shoegaze
rock,tulsa indie
rock,montreal indie
rock,fort worth indie
religious,christian metalcore
rock,french psychedelic
rock,rochester ny indie
rock,boston indie
rock,west virginia indie
rock,swedish garage rock
folk,cape breton folk
metal,gothenburg metal
country,southern americana
rock,grupera
rock,cosmic post-rock
rock,british post-rock
rock,classic opm
metal,cleveland metal
rock,gaian doom
pop,canadian latin
pop,glitch pop
pop,malaysian mandopop
hip hop,trap dominicano
pop,elephant 6
rock,straight edge
blues,boogie
rock,hardcore
metal,japanese heavy metal
punk,virginia punk
rock,chattanooga indie
metal,swedish power metal
rock,rock alternativo brasileiro
rock,tucson indie
rock,denton tx indie
rock,visual kei
rock,japanese emo
rock,rock nacional brasileiro
country,novelty
metal,portland metal
rock,slc indie
punk,vancouver punk
rock,shanty
rock,swedish indie rock
rock,icelandic rock
rock,cornwall indie
punk,norwegian punk rock
religious,christian a cappella
rock,uplifting trance
pop,bassline
rock,belgian rock
rock,icelandic indie
punk,northern irish punk
hip hop,anime rap
hip hop,trap antillais
hip hop,rap antillais
hip hop,francoton
hip hop,beatboxing
pop,eurovision
punk,uk pop punk
pop,strut
rock,swiss indie
hip hop,swiss hip hop
r&b,uk funky
rock,denver indie
hip hop,hip hop tuga
pop,romanian pop
reggae,reggaeton colombiano
pop,melbourne bounce
pop,melbourne bounce international
hip hop,norrlandsk hip hop
hip hop,rhode island rap
hip hop,norwegian hip hop
hip hop,nordnorsk rap
hip hop,rap francais
hip hop,zouk riddim
hip hop,italian hip hop
pop,kaneka
electronica,hardcore techno
hip hop,london rap
hip hop,aussie drill
hip hop,hindi hip hop
hip hop,desi trap
pop,grave wave
hip hop,viral trap
hip hop,rap montrealais
hip hop,hip hop quebecois
hip hop,malaysian hip hop
pop,chill pop
hip hop,latvian hip hop
hip hop,uk drill
hip hop,milwaukee hip hop
hip hop,canadian underground hip hop
hip hop,rap nacional antigo
r&b,funk ostentacao
rock,leipzig indie
hip hop,gospel rap
electronica,destroy techno
hip hop,banda caliente
rock,brisbane indie
pop,israeli pop
hip hop,manguebeat
hip hop,coco
rock,brazilian indie
hip hop,afrofuturismo brasileiro
blues,japanese psychedelic
r&b,bedroom soul
electronica,deep pop edm
rock,norwegian indie
hip hop,san diego rap
electronica,indie electropop
hip hop,asian american hip hop
pop,vapor pop
pop,teen pop
pop,pop house
rock,york indie
jazz,ambient worship
hip hop,tagalog rap
hip hop,pinoy hip hop
rock,oakland indie
hip hop,mpb
metal,hungarian metal
hip hop,rap maroc
hip hop,colombian hip hop
hip hop,rai
pop,moroccan pop
pop,aussietronica
pop,sudanese pop
hip hop,australian underground hip hop
pop,danish pop
hip hop,chicago house
hip hop,deep underground hip hop
hip hop,mbalax
hip hop,oc rap
hip hop,atlantic canada hip hop
hip hop,tallava
pop,albanian pop
hip hop,albanian hip hop
pop,cypriot pop
hip hop,rap inde
hip hop,ghanaian hip hop
hip hop,old school rap francais
pop,nigerian pop
metal,virginia metal
pop,environmental
electronica,electroclash
pop,balkan brass
rock,croatian rock
jazz,german boom bap
jazz,new isolationism
jazz,dark jazz
jazz,nouvelle chanson francaise
pop,croatian pop
rock,rva indie
jazz,german jazz
jazz,hauntology
jazz,bolero mexicano
rock,virginia indie
jazz,bandoneon
rock,israeli indie
jazz,classical accordion
metal,instrumental progressive metal
jazz,jazz accordion
rock,christchurch indie
jazz,bluegrass fiddle
rock,yugoslav rock
hip hop,buffalo hip hop
jazz,deep free jazz
jazz,italian experimental
pop,classic arab pop
punk,chicano punk
r&b,afro-funk
jazz,highlife
jazz,brazilian boogie
jazz,psicodelia brasileira
jazz,japanese jazztronica
jazz,flamenco guitar
pop,grebo
pop,indonesian pop
rock,indonesian indie
hip hop,uk alternative hip hop
hip hop,manchester hip hop
jazz,belgian modern jazz
rock,bristol indie
jazz,icelandic jazz
jazz,deep jazz fusion
folk,early american folk
jazz,jazz mexicano
pop,classic danish pop
jazz,experimental guitar
folk,arab folk
